name,dps_mean,dps_min,dps_max,dps_std_dev,dps_mean_std_dev
Potatoófdoom,53971.09050797849,44141.34900650555,65686.81530960026,2780.882197371771,13.763708071625471
1208/2520/raid-heroic/202456/6592/back/,55315.19074746881,44630.15497009762,67687.17406429753,2833.771420582713,14.105699171942815
1208/2523/raid-heroic/204211/0/trinket2/,56999.11240442793,44132.34321756361,72717.08728859345,3331.4283948505363,14.533318285072726
1208/2523/raid-heroic/202606/6243/main_hand/,54796.60558288131,42840.81079646713,68444.54337266674,3103.4957527108168,13.96300487659733
1208/2520/raid-heroic/204465/6592/back/,56344.27203334609,45675.09319854928,70224.11326878176,2871.4713593943916,14.359690436291457
1208/2520/raid-heroic/203963/0/trinket2/,57768.01122452797,46943.6639842108,69764.77908064879,2922.3205864284673,14.722812104015842
1208/2520/raid-heroic/203963/0/trinket1/,58568.169899816414,48071.822579775966,73026.70735983043,2988.1625418259805,14.921055391299353
1208/2523/raid-heroic/204398/6556/finger2/,56011.33822324686,45454.32954180409,67007.11576733136,2807.5136336118126,14.272315857846902
1208/2523/raid-heroic/204398/6556/finger1/,54592.883948070725,42141.821247763015,66669.19503168968,2888.357452729734,13.919835364746493
1208/2523/raid-heroic/204211/0/trinket1/,58041.065932207355,45987.835996340305,74321.2919555952,3425.4664011432524,14.802252551043221
1208/2523/raid-heroic/202601/0/hands/,53583.13611088595,44105.94692805277,64655.81747411386,2848.658142043839,53.834578672052196
1208/2520/raid-heroic/202457/6574/wrist/,55341.63130275584,43514.599967769114,68306.4752920864,2830.1404386170643,14.110719670970862
1208/2520/raid-heroic/202464/6625/chest/,56176.25020198239,45966.3405776331,69129.31425033663,2876.7657671274756,14.317761616922265
1208/2523/raid-heroic/202462/0/hands/,53776.4366733144,45188.985875892955,63557.90090368296,2884.080377485534,53.863368931587516
1208/2532/raid-heroic/204400/0/waist/,54230.627634044875,43201.721880957164,67336.2790182306,2850.988680345507,13.824285551973611
1208/2532/raid-heroic/202464/6625/chest/,56010.42332410857,45550.0506429924,68571.036328175,2878.8359125221114,14.2839049700072
1208/2527/raid-heroic/202461/0/head/,54537.829732489285,43210.969289873734,66493.97905918697,2858.7283564672725,13.897641756781653
1208/2522/raid-heroic/202612/0/trinket2/,56676.5253885112,45021.9871908892,69956.27738483557,2870.9092336743934,14.450966769021436
1208/2527/raid-heroic/204396/6613/feet/,56010.99759756404,43708.77015018239,69141.87253964323,2861.9781295378975,14.27869010144658
1208/2527/raid-heroic/202463/6613/feet/,55465.788944695916,45548.72260406176,68031.48341140221,2842.1525947470363,14.137263548701847
1208/2520/raid-heroic/202599/6625/chest/,56160.42068755953,44795.595781330936,68544.877435367,2879.3428298784,14.310573320313699
1208/2527/raid-heroic/204397/0/neck/,55772.41727677963,44295.51116682938,67770.03062478284,2865.9731624172464,14.219908895895061
1208/2532/raid-heroic/204320/6243/main_hand/swap_mh,55947.10522408862,45422.906069875295,67223.54253496107,2912.523388924422,14.260123858897463
1208/2520/raid-heroic/204390/6574/wrist/,55317.358007456794,45305.12782060802,67782.5491896814,2818.4205158705436,14.105685842069828
1208/2530/raid-heroic/203729/0/trinket2/,55898.64176535411,45472.64268422505,68052.25700015012,2816.0882308596915,14.25324016172318
1208/2523/raid-heroic/202459/0/shoulder/,55691.935239274,44766.33088534268,67004.77314946243,2818.373542691272,14.19858059901335
1208/2522/raid-heroic/202612/0/trinket1/,57674.17314639461,46109.94484534739,71088.75845122253,2946.659449192748,14.688200260499368
1208/2532/raid-heroic/202458/0/waist/,54221.381053557314,42339.69958181749,66838.82568579366,2836.615772261053,13.814159337722886
1208/2532/raid-heroic/204320/6243/main_hand/,56827.85957110095,43870.55624297314,68858.35790800337,2913.7026818533873,14.477232680659403
1208/2532/raid-heroic/204320/3368/off_hand/,54887.332368530995,43534.163044896006,67355.7327529347,2869.1716790949986,13.985314322730535
1208/2532/raid-heroic/204467/6592/back/,54702.659040782106,42207.845244945835,68884.4976415397,2784.6986972937493,13.946874098272572
1208/2532/raid-heroic/202456/6592/back/,55048.75062051265,44076.817677168576,65821.2354514597,2806.254862135232,14.03215134754364
1208/2530/raid-heroic/203729/0/trinket1/,56895.82895695542,45089.64731233445,69952.49533698142,2907.947106374109,14.497752835543578
1208/2525/raid-heroic/204466/6556/finger2/,54039.25713021762,43962.02688636365,67291.11053515079,2734.86130094673,13.77575972385007
1208/2530/raid-heroic/202457/6574/wrist/,55181.70843399658,44690.31583454748,65996.1322459266,2800.1583211970033,14.069371063945367
1208/2530/raid-heroic/202582/6574/wrist/,54920.40345487107,43467.122215955635,67989.30078426866,2807.001820137829,13.995527425029941
1208/2525/raid-heroic/202460/0/legs/,55485.675111726516,44420.561847199206,67527.08501725574,2809.422986866939,14.139679324983048
1208/2522/raid-heroic/202456/6592/back/,54921.4660379561,43655.258758219,67985.37079929962,2812.9753049128344,14.003223027201333
1208/2522/raid-heroic/202573/6592/back/,55340.893050486186,43738.58063841756,66759.0223279461,2802.844208783654,14.104782380764092
1208/2529/raid-heroic/202568/6243/main_hand/swap_mh,54873.414150427714,43858.89128978023,67326.82107948774,2880.3904532416796,13.98560918866599
1208/2522/raid-heroic/202559/6243/main_hand/,51040.724071974,43621.3472903262,59657.25008240472,3099.2687407328526,221.94324438842585
1208/2529/raid-heroic/202568/3368/off_hand/,53991.904305369586,42958.77107204586,65964.67281604026,2823.204460009745,13.758966409722422
1208/2524/raid-heroic/202597/0/legs/,55176.22769638146,44748.44946581449,68198.81577070689,2819.21087100774,14.062520072242402
1208/2524/raid-heroic/202458/0/waist/,54003.62943178195,42059.820651895556,65718.21235753706,2831.432852470282,13.767223101862292
1208/2524/raid-heroic/202577/0/waist/,55036.042766819126,44757.47571301182,69720.62228643244,2824.1272251689015,14.02385488349292
1208/2525/raid-heroic/202461/0/head/,54658.03664106283,44181.92056535176,67558.63510194031,2869.2825654301773,13.929869228528272
1208/-49/raid-heroic/202463/6613/feet/,55255.95675617017,43460.86185300416,66111.78086081614,2808.9485495355393,14.080517507814875
1208/2529/raid-heroic/202459/0/shoulder/,55688.416258033714,43879.14941772153,67784.84018286905,2816.0280195107143,14.195233185351265
1208/2529/raid-heroic/202595/0/shoulder/,55636.73533208736,44724.32940808603,67909.20243467977,2828.35197558573,14.178316169043052
1208/2525/raid-heroic/204466/6556/finger1/,52494.23058298602,44361.82570145525,62211.17232403187,2772.187166140217,52.85392613473709
1208/2529/raid-heroic/202572/6556/finger1/,52609.60991345958,44224.00566879403,60702.06333776233,3105.049665497356,222.92957402571054
1208/2524/raid-heroic/202460/0/legs/,55458.37465614288,44848.270553107715,68156.25698272609,2816.9715563656623,14.135126868785644
1208/2524/raid-heroic/202618/0/neck/,57653.77037713918,46031.92148973601,70589.45183484313,2911.630524860218,14.691532812214502
1208/2522/raid-heroic/202576/6613/feet/,55560.22312538909,44985.23876889672,66829.34252055234,2824.78401698446,14.160430260371312
1208/2530/raid-heroic/202462/0/hands/,53741.19357374838,45338.37400215275,63616.31509237201,2842.516394396041,54.313396464999066
1208/2522/raid-heroic/202463/6613/feet/,55258.786069271046,44973.57684580757,66998.60518139272,2848.7142695469774,14.077727153734681
1208/2529/raid-heroic/202617/0/trinket1/,57306.42015201498,46681.64311078913,69092.77238923465,2871.664247752622,14.607117760020525
1208/2529/raid-heroic/202617/0/trinket2/,56350.15184240566,45412.76581145624,67912.12646022205,2825.7472467878106,14.359999434876835
1208/-49/raid-heroic/204430/6613/feet/,55262.805498435155,44204.53727315479,66786.44515939748,2830.579108053272,14.086667801393899
1208/2525/raid-heroic/202592/0/head/,54423.131197883,43555.047438062895,66971.1213976446,2838.6925197757914,13.877528751893122
1208/2529/raid-heroic/202572/6556/finger2/,54286.529594353764,43465.40668316536,66173.16975431897,2776.261726125063,13.841571154300382
1208/2524/raid-heroic/202613/0/trinket1/,57331.5474607916,47258.813322267764,69846.72690905325,2884.4519087143026,14.611985893130985
1208/2529/raid-heroic/202568/6243/main_hand/,55801.209776281336,44892.261152319705,69657.13561342047,2861.0801088765065,14.229827394124326
1208/2524/raid-heroic/202613/0/trinket2/,56378.30034607282,44354.02865656459,67359.7459604446,2800.8145378744443,14.368253537233302
