name,dps_mean,dps_min,dps_max,dps_std_dev,dps_mean_std_dev
Potatooflock,53840.76364253012,46784.09938452674,63107.01811722688,2050.373933781906,13.725088875096908
1208/2520/raid-heroic/202528/0/back/,55105.34518850239,47579.666737114174,64021.571720610154,2125.6925644867456,14.031661799002245
1208/2520/raid-heroic/204465/0/back/,55348.5433487606,48225.608247887845,65145.19739722155,2092.747410887297,14.108658877803352
1208/2523/raid-heroic/204202/0/trinket2/,59014.19225370328,50082.19885018611,71218.20671981171,2551.574651478342,15.035558859307576
1208/2523/raid-heroic/204202/0/trinket1/,58833.997240972814,47769.96311041487,71549.53604986274,2527.0293260704825,14.997800959883193
1208/2520/raid-heroic/203963/0/trinket1/,56047.59864755577,48290.85294178489,67223.9487493182,2432.0754827403453,14.28631975661387
1208/2520/raid-heroic/203963/0/trinket2/,56213.40482221045,47462.47331781357,67508.32893138965,2454.51587172835,14.325751228761925
1208/2523/raid-heroic/204398/0/finger2/,54642.040099481164,47263.84784849706,63702.93071417988,2088.4045066509666,13.921459302950764
1208/2523/raid-heroic/202535/6613/feet/,54936.21256729915,48244.418767721836,63843.08784723983,2081.5676964896747,13.9898010818277
1208/2523/raid-heroic/204392/6613/feet/,54932.98867207114,48007.0489538188,64693.41169925161,2083.497760701251,14.00087556344631
1208/2527/raid-heroic/204397/0/neck/,54587.56229176342,47981.41133943932,64216.86462390295,2105.4642230647078,13.915122273143652
1208/2532/raid-heroic/202529/6574/wrist/,54818.477794010665,47565.53942819064,64039.53027352471,2093.208488630843,13.972744193262761
1208/2532/raid-heroic/204393/6574/wrist/,54639.91406255348,45046.63071575755,63629.101231445056,2069.3662010894504,13.915971111928679
1208/2530/raid-heroic/204318/0/off_hand/,55636.02807032223,48499.805238410525,64864.70766805506,2123.082664956133,14.16679784542585
1208/2530/raid-heroic/203729/0/trinket2/,55648.993483616716,48047.309022131616,65522.477605206295,2063.3948681046895,14.181826718237799
1208/2522/raid-heroic/202612/0/trinket1/,55590.907816528226,48251.07852068516,65045.74870267187,2088.5058055196264,14.166933223137674
1208/2527/raid-heroic/203996/0/trinket2/,58382.99940115467,50904.11333668331,66541.7652885258,2097.86589087353,14.872871842793534
1208/2530/raid-heroic/203729/0/trinket1/,55485.341446334576,47891.790505145924,63912.92227507849,2071.143013294284,14.143839366364874
1208/2532/raid-heroic/202555/6643/main_hand/,57501.27468572217,49919.65644309652,66775.27788801525,2164.83297248343,14.655042065825755
1208/2527/raid-heroic/203996/0/trinket1/,58277.28736531121,50101.20655332782,68092.77441978532,2097.18085157349,14.84044252412283
1208/2523/raid-heroic/204324/0/off_hand/,56018.86048397678,49057.021785779376,65253.58054973781,2130.357633792508,14.280666427850239
