name,dps_mean,dps_min,dps_max,dps_std_dev,dps_mean_std_dev
Potatooflock,53863.31247229455,46522.226688843475,64301.63383778297,2072.123073790367,13.716354351468555
1208/2520/raid-mythic/203963/0/trinket2/,56927.989551913844,48974.86597314329,68299.30853748067,2569.675655495858,14.501518671236866
1208/2523/raid-mythic/204324/0/off_hand/,56830.973261223495,49132.01572357757,66583.90094124388,2154.386043061124,14.48312433246489
1208/2520/raid-mythic/203963/0/trinket1/,56774.50704974755,48706.121485105294,68246.14143125061,2554.7910669078706,14.47665396435255
1208/2523/raid-mythic/204398/6556/finger1/,54472.21897945786,47091.88868597831,64306.07024610766,2089.068362254272,13.880010334733937
1208/2523/raid-mythic/202535/6613/feet/,55386.53685804582,48204.47384571104,66083.26022018006,2113.878036707716,14.110719129556566
1208/2520/raid-mythic/204465/0/back/,55734.86839781856,48311.36293402894,65406.82953783622,2105.531753161926,14.200011088314893
1208/2523/raid-mythic/204392/6613/feet/,55398.999768677095,47667.457983651686,64354.02811964676,2081.533266281794,14.117038463172408
1208/2520/raid-mythic/202532/0/legs/,56831.80111764863,48845.90641937008,66890.91373731957,2176.6038351015955,14.490740947913162
1208/2520/raid-mythic/202585/0/legs/,56810.69374827314,48841.54013320717,66449.43114582176,2162.9347623573503,14.482783628158685
1208/2532/raid-mythic/204393/6574/wrist/,54938.56683107155,47395.92875959579,64940.47088660369,2112.8881622574836,13.984972073225249
1208/2520/raid-mythic/202528/0/back/,55504.62388294476,48262.51418897523,65056.048329387064,2121.726121321809,14.138244500158372
1208/2527/raid-mythic/203996/0/trinket2/,59474.64582047989,52053.557247830904,70355.00695101843,2118.9678177991595,15.145533253230235
1208/2527/raid-mythic/202533/0/head/,55471.53990213997,47965.59234364415,64082.22768762898,2113.986656568143,14.13287197517706
1208/2530/raid-mythic/204318/0/off_hand/,56490.26834772139,48486.007904530605,66419.80513752894,2165.367387453629,14.389490906918473
1208/2523/raid-mythic/204202/0/trinket2/,59961.69057747967,50245.97088921166,72304.25648196698,2658.8192011310884,15.266457843104238
1208/2523/raid-mythic/204398/0/finger2/,54918.60822183942,48337.41506617419,63755.17266406996,2110.8282550297045,13.989429214924298
1208/2527/raid-mythic/203996/0/trinket1/,59423.29458822542,52284.964525288786,68536.60606376425,2128.9823155754,15.1449413174623
1208/2532/raid-mythic/202536/0/chest/,56777.98790127593,49130.20268608951,68463.71301085303,2161.8955950438976,14.470960248957725
1208/2530/raid-mythic/203729/0/trinket1/,56024.54486015162,49100.76403068493,66242.29329590492,2076.3525801392857,14.273245865620515
1208/2523/raid-mythic/202531/0/shoulder/,53659.21049153046,46386.36400436208,62768.449488681756,2088.749442439215,13.66802325480346
1208/2523/raid-mythic/204202/0/trinket1/,59768.11271693068,50578.29791395683,74281.59288870235,2652.4367998770904,15.233327195629766
1208/2520/raid-mythic/202565/6643/main_hand/,62342.46880776004,54471.61881116959,72251.71610418943,2332.440772847275,15.867311183114886
1208/2530/raid-mythic/203729/0/trinket2/,56224.48879980091,49056.57680892273,66783.49820777607,2080.9082860074873,14.322848453217814
1208/2532/raid-mythic/202555/6643/main_hand/,59005.35825936456,50716.05425254352,68533.53828809965,2220.7961773774214,15.033545817188676
1208/2532/raid-mythic/202529/6574/wrist/,55170.87500604623,48326.41771301646,64625.27670946371,2108.840533782279,14.048950076988552
1208/2522/raid-mythic/202612/0/trinket1/,56135.55327276538,48399.04333881015,64551.937990350154,2090.8659760666255,14.303563819504863
1208/2522/raid-mythic/202612/0/trinket2/,56272.53379411137,48827.16660427016,66159.40457203821,2097.830215387999,14.335783616935396
1208/2532/raid-mythic/204467/0/back/,55085.86721981451,47382.43303062055,64392.36241082921,2091.247871248143,14.02007264312522
1208/2527/raid-mythic/204397/0/neck/,54859.84908063832,46683.665414906536,68110.95100722522,2116.932856332267,13.96775426690831
1208/2532/raid-mythic/202528/0/back/,55193.22391968859,47044.85795757931,65316.09714685088,2116.848807454546,14.048471903054475
1208/2525/raid-mythic/204466/0/finger2/,54326.71221818837,46268.17331564513,63923.81111598834,2075.9471876286984,13.832272671641167
1208/2525/raid-mythic/204466/6556/finger1/,54090.81670003876,46316.91556267335,64590.37389801002,2082.839595029822,13.781556444902847
1208/2525/raid-mythic/202535/6613/feet/,55177.84393142317,46902.39608878107,64989.454473966434,2105.015697374929,14.051873643699016
1208/2525/raid-mythic/202603/6613/feet/,55372.17298418559,48099.59236225843,64324.01067071886,2090.0504001222216,14.112301275147368
1208/2530/raid-mythic/202530/0/waist/,54913.606934465635,48419.933248772344,64275.89719213147,2112.0428735283404,13.973562724849177
1208/2522/raid-mythic/202536/0/chest/,56492.92384364516,48607.370663978305,66453.02687494295,2159.348000764095,14.396933122697813
1208/2522/raid-mythic/202600/0/chest/,56427.8591786823,47950.36409047463,65670.4182794115,2130.6864503748943,14.385697588550562
1208/2529/raid-mythic/202615/0/trinket2/,57464.678541581976,49972.25095352042,66755.54105924066,2073.22772093299,14.629973037801339
1208/2529/raid-mythic/202572/0/finger2/,54573.29368704904,47343.27059413695,63727.3907322331,2113.483508893283,13.90871143894701
1208/2522/raid-mythic/202573/0/back/,54955.26868476383,48198.1011646388,64324.06513133442,2103.9542501057667,14.005214198616137
1208/2524/raid-mythic/202531/0/shoulder/,53648.97810872624,44937.31415252213,63118.8649413026,2078.8190860568475,13.661076554725001
1208/2529/raid-mythic/202529/6574/wrist/,55028.58428961969,46821.75066145743,64501.31423441148,2096.383763327808,14.007365870707192
1208/2530/raid-mythic/202534/0/hands/,53606.61692924758,47010.5680815628,62324.71156217221,2045.0809721462608,53.285510950734555
1208/2524/raid-mythic/202580/0/shoulder/,53611.876315841306,46116.27882378531,63155.332618295244,2066.404974863733,13.659662856168199
1208/2525/raid-mythic/202532/0/legs/,56331.71452703581,48379.93131545509,66253.93340977556,2158.3448372449693,14.347893738419472
1208/2524/raid-mythic/202618/0/neck/,54854.837219141606,45955.36840510708,64217.384102628144,2126.6166791588134,13.961621616241407
1208/2529/raid-mythic/202615/0/trinket1/,57324.01687528838,48855.9419344901,66946.8281303875,2066.9120075707156,14.610162304444355
1208/2524/raid-mythic/202534/0/hands/,53444.59155323707,47401.148319181855,61424.63709164057,2136.3568591563862,53.694937594009716
1208/2529/raid-mythic/202579/0/head/,55538.75942357039,48014.78311212375,64728.647489556926,2109.456999950003,14.138654989014542
1208/-49/raid-mythic/202531/0/shoulder/,53644.3424880099,47024.84544947657,61673.463453366145,2125.2778928070143,53.26527738506983
1208/-49/raid-mythic/204411/0/shoulder/,53647.29840495946,46260.32383011586,63282.26595271238,2095.376119917539,13.657398629229215
1208/-49/raid-mythic/202529/6574/wrist/,55023.868805844104,46755.23246935489,64783.88400454048,2103.2327003459204,14.01968216928635
1208/2529/raid-mythic/202572/6556/finger1/,54259.220953578886,46683.37426760952,63840.3408245786,2070.193548510458,13.810193095215835
1208/2529/raid-mythic/202533/0/head/,55496.34284611577,47563.280946701656,63721.91582963571,2117.2750954520593,14.134340190159106
1208/2530/raid-mythic/202652/0/waist/,54955.03080720361,44583.17761475519,64802.62972810602,2099.5233353029685,13.992469699513563
1208/2529/raid-mythic/202593/6574/wrist/,54925.83019048877,47851.27106868935,63749.66922442237,2121.951426370686,13.987476949845677
1208/2522/raid-mythic/202528/0/back/,55032.23583266739,47167.78064941015,66180.64253149388,2096.7871014094253,14.012563425434235
1208/2522/raid-mythic/202589/0/waist/,54891.995103183646,48099.44968578943,63966.81650286479,2089.924225154417,13.989209495072425
1208/2522/raid-mythic/202530/0/waist/,54803.4467990087,47097.380968925776,65175.11947856729,2094.344957397338,13.957957915472491
1208/-49/raid-mythic/204410/6574/wrist/,54818.37436394345,46863.93770788314,64030.94399056056,2102.8318172186205,13.977010458643589
1208/2524/raid-mythic/202578/0/hands/,53447.72395434201,47804.86262466968,61734.31345908581,2032.7828715110156,53.14578540481179
