name,dps_mean,dps_min,dps_max,dps_std_dev,dps_mean_std_dev
Alurush,92742.39328924986,81990.81671300632,105247.42397786965,2975.483553320628,23.61941248752657
1208/2520/raid-mythic/202519/6592/back/,93732.76374797437,82953.07556114977,106656.86464232918,2980.278568612389,23.856737857688167
1208/2520/raid-mythic/204465/6592/back/,94878.37228647275,84419.56111009917,108729.58372835736,3019.083185434611,24.17201083338129
1208/2523/raid-mythic/204201/0/trinket2/,94555.66478016123,82464.19736004746,110051.72625223821,3525.6171382464095,24.09049321154891
1208/2520/raid-mythic/203963/0/trinket2/swap_doubleonuse,94782.7456445137,80739.67149499529,110199.40094612459,3776.8321210239305,24.125849016899473
1208/2523/raid-mythic/204398/6550/finger2/,91995.75897269836,83705.54035675719,100933.52807158575,2914.6398355428555,91.12700133532762
1208/2523/raid-mythic/204398/6550/finger1/,92144.49798764553,83531.78020673053,100943.55461741013,2972.5920522433275,90.66320762983415
1208/2520/raid-mythic/202521/0/waist/,92509.69556756444,82374.83611220296,104931.72925602678,2945.9403215713437,23.53516044165173
1208/2520/raid-mythic/204399/0/waist/,92859.24177804551,80956.71135352655,104505.81433414703,2999.767310979459,23.62827367875512
1208/2527/raid-mythic/202560/6643/off_hand/,93928.1768367998,83176.90767099337,106909.68458200034,3000.189429609661,23.9212745334485
1208/2527/raid-mythic/202560/6643/main_hand/,96274.42590868668,86099.80839550967,110399.43233870153,3069.575441534917,24.519753513401824
1208/2522/raid-mythic/202612/0/trinket2/,93092.67628942705,83821.29473654187,105950.30606802534,2957.2075803272237,23.674333244044554
1208/2522/raid-mythic/202612/0/trinket1/,93172.57331906958,82559.01960528884,105004.43902287025,3017.0518846443297,23.720310153410896
1208/2527/raid-mythic/202520/6574/wrist/,92535.59251374897,82794.44785495337,106361.08300066316,2952.7483236762573,23.555746741342897
1208/2520/raid-mythic/202587/0/hands/,94189.88054127002,84431.30357824317,107317.55083927292,3009.766629485429,23.945175428268
1208/2527/raid-mythic/204394/6574/wrist/,92503.19617109647,83439.5401592157,107107.5000846451,2932.0203283150013,23.563479457514358
1208/2532/raid-mythic/202526/6613/feet/,93997.31849392889,84473.87357744557,107589.70071925507,3013.5305514429674,23.938783099991934
1208/2532/raid-mythic/202519/6592/back/,93386.09569494695,84060.59730695345,106550.0877398558,2966.5679177598536,23.76374185105278
1208/2532/raid-mythic/204391/6613/feet/,93940.83187220275,83819.80625820777,106507.14503093393,3000.5049105964795,23.924550431023107
1208/2530/raid-mythic/202566/6643/main_hand/swap_mh,96030.71292839434,86184.45483897514,109395.94840721012,3024.438375537847,24.459129545923705
1208/2523/raid-mythic/204201/0/trinket1/,94708.92415718989,83653.26543888447,110753.64675511108,3553.133021278162,24.132474770343233
1208/2529/raid-mythic/202523/6490/legs/,93453.43749759562,83366.85520383666,105820.62510038819,2961.45116118768,23.815389946401396
1208/2529/raid-mythic/202617/0/trinket1/,93845.51700658324,81390.6807212196,107199.04101928894,3054.6496030158874,23.887789344566226
1208/2522/raid-mythic/202520/6574/wrist/,92393.89051025014,83306.0812202789,105932.61296694739,2919.77801175357,23.525186696587518
1208/2529/raid-mythic/202572/6550/finger1/,90853.07057597945,83319.2135400319,100839.16313442071,2968.7366997238446,87.92639262218253
1208/2532/raid-mythic/204467/6592/back/,93284.75555293336,83401.46038263358,106404.06132907352,3014.2055043668665,23.753054330944067
1208/2529/raid-mythic/202617/0/trinket2/,94166.45800886006,83246.07142361652,107504.75216434925,3036.2124941881198,23.977156665775023
1208/2525/raid-mythic/202521/0/waist/,92182.14841869294,82939.82168179432,101532.83906759744,2936.2036521573204,92.07160164695081
1208/-49/raid-mythic/202525/0/hands/,94026.39045386438,84055.1608735651,107311.59421810841,2987.1430835604315,23.917051940571138
1208/2529/raid-mythic/202596/6490/legs/,93915.58291299078,82405.45862189229,108870.42864439964,3031.967878136175,23.89451230734084
1208/2524/raid-mythic/202527/6625/chest/,93959.91214826814,84188.11002607335,106604.32522478946,3011.0407521299585,23.900159870203364
1208/2520/raid-mythic/203963/0/trinket2/,95598.81707727896,81945.36005608112,111118.97825266702,3683.9411628372686,24.33726145764989
1208/2520/raid-mythic/202525/0/hands/,94472.96904868158,84460.83970099984,108019.62092925429,3011.0334220973987,24.060565552333554
1208/2522/raid-mythic/202524/0/head/,93669.34958723669,83457.23992926077,106426.6007536743,2975.36910288432,23.865658689796255
1208/2530/raid-mythic/202566/6643/main_hand/,96051.3656675904,83867.1812371595,108461.50804759444,3044.980300869521,24.414592483036145
